vuonna vuon‧na
koko ko‧ko
ottaa ot‧taa
saa saa
sai sai
tuli tu‧li
mies mies
eri e‧ri
aikana ai‧ka‧na
on on
komissio ko‧mis‧si‧o
tehdä teh‧dä
artikla ar‧tik‧la
viime vii‧me
sanoi sa‧noi
osa o‧sa
hyvä hy‧vä
osalta o‧sal‧ta
antaa an‧taa
pitää pi‧tää
ensimmäinen en‧sim‧mäi‧nen
asia a‧si‧a
saada saa‧da
käyttää käyt‧tää
uusi uu‧si
maailman maa‧il‧man
puhemies pu‧he‧mies
professori pro‧fes‧so‧ri
olevan o‧le‧van
aikaan ai‧kaan
määrä mää‧rä
jäsen jä‧sen
toimia toi‧mi‧a
oman o‧man
ei ei
nainen nai‧nen
pieni pie‧ni
aika ai‧ka
oma o‧ma
alkaa al‧kaa
uusia uu‧si‧a
toimi toi‧mi
mennä men‧nä
kaupunki kau‧pun‧ki
suuri suu‧ri
tarkoittaa tar‧koit‧taa
tietää tie‧tää
päivä päi‧vä
kello kel‧lo
asetus a‧se‧tus
tärkeä tär‧ke‧ä
tyttö tyt‧tö
tehdään teh‧dään
suomalainen suo‧ma‧lai‧nen
päästä pääs‧tä
kyse ky‧se
vastaava vas‧taa‧va
näyttää näyt‧tää
ii ii
syystä syys‧tä
tulla tul‧la
toinen toi‧nen
päätös pää‧tös
parempi pa‧rem‧pi
paras pa‧ras
oleva o‧le‧va
jäi jäi
sanoa sa‧no‧a
lapset lap‧set
vanha van‧ha
poika poi‧ka
olla ol‧la
mielestä mie‧les‧tä
vaikea vai‧ke‧a
tilanne ti‧lan‧ne
ole o‧le
päivää päi‧vää
naisen nai‧sen
kysymys ky‧sy‧mys
esittää e‧sit‧tää
vaikuttaa vai‧kut‧taa
odottaa o‧dot‧taa
nimi ni‧mi
lisää li‧sää
äiti äi‧ti
puheenjohtaja pu‧heen‧joh‧ta‧ja
pitkä pit‧kä
jää jää
muistuttaa muis‧tut‧taa
maksaa mak‧saa
kannattaa kan‧nat‧taa
jatkaa jat‧kaa
